,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Asked,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
User Picked,4.0,4.0,4.0,4.0,8.0,4.0,8.0,6.0,5.0,10.0,12.0,10.0,6.0,10.0,4.0,4.0,7.0,12.0,3.0,8.0
Cost,219.0,211.0,219.0,221.0,220.0,219.0,219.0,209.0,221.0,219.0,219.0,220.0,209.0,220.0,211.0,211.0,220.0,219.0,218.0,222.0
Selected Points,75.0,75.0,75.0,75.0,62.5,75.0,50.0,50.0,80.0,60.0,41.66666666666667,50.0,50.0,50.0,75.0,75.0,57.14285714285714,41.66666666666667,66.66666666666666,50.0
Known Defects,26.0,25.0,26.0,26.0,25.0,26.0,25.0,26.0,27.0,26.0,25.0,24.0,26.0,24.0,25.0,25.0,24.0,25.0,25.0,26.0
Features Used,26.0,23.0,26.0,26.0,27.0,26.0,27.0,24.0,26.0,27.0,27.0,27.0,24.0,27.0,23.0,23.0,27.0,27.0,24.0,25.0
Score,0.015,0.01,0.015,0.01,0.015,0.015,0.025,0.01,0.01,0.01,0.015,0.025,0.01,0.025,0.01,0.01,0.025,0.015,0.01,0.01
Time,1.545865535736084,1.5659992694854736,1.570030927658081,1.5579674243927002,1.5930323600769043,1.5589675903320312,1.5650317668914795,1.5879766941070557,1.5690248012542725,1.5940017700195312,1.6139650344848633,1.5720314979553223,1.6629724502563477,1.6429965496063232,1.5630297660827637,1.5510060787200928,1.6060009002685547,1.5609948635101318,1.5809991359710693,1.5930004119873047
